iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,t_opt,kl_dist,surr_improvement,running_score,num_samples,time_VF,VF_error_before,VF_error_after
68,2.5223233699798584,-3320.8545091735723,3.2205770549004074,-3313.3313235859696,-3326.6551131913284,3.3047711849212646,0.005493618,0.0002886912,-3324.6223990211447,12000,1.1108858585357666,2.96694056220951e-06,2.88008596401078e-06
69,2.586268663406372,-3321.2381630031514,3.2413025114497542,-3313.942373001368,-3327.9487202304094,3.3069677352905273,0.0015180628,0.00035794673,-3324.2839754193456,12000,1.1034364700317383,2.6233167855195697e-06,2.5968303857191296e-06
70,2.5719943046569824,-3321.109963098301,3.8009529901902583,-3311.4274917808393,-3329.5247293407892,3.152190923690796,0.0042109997,0.0018049116,-3323.9665741872413,12000,0.9807751178741455,3.262377191434908e-06,3.171731151268319e-06
71,2.4944911003112793,-3320.7854638402832,3.8656916025306587,-3310.5586093580023,-3328.8160311838606,3.291447401046753,0.0047151237,0.0013665102,-3323.648463152546,12000,0.910153865814209,2.8312808274475264e-06,2.8481326291474985e-06
72,2.232484817504883,-3321.4487965864,3.308795763260475,-3312.9356126834655,-3328.759242617732,3.2970376014709473,0.0041267597,0.0002354943,-3323.4284964959315,12000,0.84195876121521,2.6313427664563894e-06,2.6272454027442613e-06
73,2.243805170059204,-3320.811947706073,3.4286448695639216,-3312.5232483483232,-3327.12137182395,3.288038730621338,0.0034022557,0.0020694206,-3323.166841616946,12000,0.910841703414917,2.7148152019215386e-06,4.611667030624978e-06
74,2.242003917694092,-3320.849872735154,3.966268002334678,-3313.022227885809,-3330.3614376233286,3.2786827087402344,0.0027651258,0.0006534354,-3322.9351447287668,12000,0.8971917629241943,4.843252870316243e-06,2.797531250404916e-06
75,2.2358155250549316,-3320.8675413113033,3.3088060816146867,-3311.668077497801,-3327.877159862602,3.295701265335083,0.0044569313,0.0003994368,-3322.7283843870205,12000,1.0401861667633057,2.3212210565364777e-06,2.4937904735575135e-06
76,2.4421043395996094,-3321.650452687679,3.52882618008943,-3313.022494612656,-3329.889929140241,3.1720962524414062,0.004195795,0.002022894,-3322.6205912170863,12000,0.936133623123169,2.943653471885185e-06,2.8098703566045867e-06
77,2.2180957794189453,-3320.6072647237265,3.7668051899722483,-3310.012784913627,-3327.514523650967,3.3066844940185547,0.003907097,0.0006825597,-3322.41925856775,12000,0.8210065364837646,3.283198755928955e-06,2.6415433587680247e-06
78,2.218916416168213,-3321.422274030992,3.746961778187366,-3313.15554856556,-3331.247239789766,3.3430166244506836,0.0057905857,0.0019344483,-3322.3195601140746,12000,0.8540763854980469,2.9350600491052255e-06,2.879613307780293e-06
79,2.171360731124878,-3320.3073020876755,3.2001911745646368,-3313.886246037127,-3328.6000715562905,3.276639223098755,0.0016692597,0.0006588942,-3322.118334311435,12000,0.8466339111328125,2.5141978044084025e-06,2.2732228996347706e-06
80,2.2167274951934814,-3320.3497814096236,3.3370674645136043,-3314.27223591803,-3330.4729432785402,3.309035062789917,0.0011141058,0.0010000664,-3321.9414790212536,12000,0.9051899909973145,2.1696194937229556e-06,2.4581227309835817e-06
81,2.195108652114868,-3320.331479257646,3.3573766765091735,-3313.251205849808,-3329.9301649915915,3.2427449226379395,0.0037544915,0.0023730113,-3321.780479044893,12000,0.9525647163391113,2.601162827250597e-06,2.474810837817309e-06
82,2.25054669380188,-3321.5379730419886,3.673431050543649,-3313.72364796742,-3329.249274437122,3.2448909282684326,0.0016583579,0.0006996447,-3321.756228444603,12000,0.9125266075134277,2.661333141606087e-06,2.5267030331110653e-06
83,2.2203359603881836,-3321.107170934946,3.4945023382253018,-3315.0035546487575,-3329.042686757502,3.2749428749084473,0.001976025,0.0012251525,-3321.6913226936376,12000,0.9589741230010986,2.218967106081011e-06,2.2954330629724183e-06
